symbol,token,action,breakout_level,stop_loss,target1,target2,target3,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
RELIANCE-EQ,2885,SELL,1418.0,1460.54,1374.0,1333.0,1205.0,2025-05-22,10,14180.0,2025-05-26,1434.8,MKT,-16.799999999999955,-167.99999999999955,4
ITC-EQ,1660,BUY,429.2,425.345,439.6,440.8,464.3,2025-05-12,34,14592.8,2025-05-20,439.6,T2_SL,10.400000000000034,353.60000000000116,8
DRREDDY-EQ,881,BUY,1210.0,1204.74,1317.0,1341.0,1428.0,2025-05-14,12,14520.0,2025-05-15,1204.74,SL,-5.259999999999991,-63.11999999999989,1
GODREJCP-EQ,10099,BUY,1281.0,1249.36,1288.0,1308.0,1358.0,2025-05-12,11,14091.0,2025-05-13,1281.0,T1_SL,0.0,0.0,1
LT-EQ,11483,SELL,3555.0,3661.65,3342.0,3284.0,3255.0,2025-05-22,4,14220.0,2025-05-26,3661.65,SL,-106.65000000000009,-426.60000000000036,4
TATACOMM-EQ,3721,BUY,1577.0,1634.45,1786.0,1820.0,1938.0,2025-05-14,9,14193.0,2025-05-15,1634.45,SL,57.450000000000045,517.0500000000004,1
SUZLON-EQ,12018,BUY,57.4,59.7326,62.13,65.18,70.71,2025-05-13,261,14981.4,2025-05-14,59.7326,SL,2.3325999999999993,608.8085999999998,1
HINDUNILVR-EQ,1394,SELL,2338.0,2408.14,2310.0,2302.0,2198.0,2025-05-22,6,14028.0,2025-05-26,2394.1,MKT,-56.09999999999991,-336.59999999999945,4
HCLTECH-EQ,7229,SELL,1636.0,1685.0800000000002,1545.0,1538.0,1537.0,2025-05-21,9,14724.0,2025-05-26,1673.6,MKT,-37.59999999999991,-338.3999999999992,5
NESTLEIND-EQ,17963,SELL,2354.0,2424.62,2292.0,2213.0,2001.0,2025-05-22,6,14124.0,2025-05-26,2424.62,SL,-70.61999999999989,-423.71999999999935,4
ETERNAL-EQ,5097,BUY,245.3,237.941,260.0,264.9,282.1,2025-05-16,61,14963.300000000001,2025-05-19,237.941,SL,-7.359000000000009,-448.89900000000057,3
KALYANKJIL-EQ,2955,BUY,535.0,547.08,564.0,598.0,649.0,2025-05-12,28,14980.0,2025-05-13,547.08,SL,12.080000000000041,338.24000000000115,1
TATATECH-EQ,20293,BUY,669.0,701.31,732.0,766.0,831.0,2025-05-08,22,14718.0,2025-05-09,701.31,SL,32.309999999999945,710.8199999999988,1
PIIND-EQ,24184,BUY,3742.0,3680.18,4022.0,4098.0,4363.0,2025-05-16,4,14968.0,2025-05-21,3680.18,SL,-61.820000000000164,-247.28000000000065,5
CONCOR-EQ,4749,BUY,703.0,681.91,703.0,717.0,745.0,2025-05-16,21,14763.0,2025-05-19,745.0,T3,42.0,882.0,3
INDIANB-EQ,14309,BUY,576.0,582.0,636.0,648.0,690.0,2025-05-13,26,14976.0,2025-05-14,582.0,SL,6.0,156.0,1
ASIANPAINT-EQ,236,SELL,2290.0,2358.7000000000003,2268.0,2245.0,2153.0,2025-05-22,6,13740.0,2025-05-27,2327.6,MKT,-37.59999999999991,-225.59999999999945,5
OBEROIRLTY-EQ,20242,BUY,1629.0,1693.62,1851.0,1886.0,2008.0,2025-05-15,9,14661.0,2025-05-16,1693.62,SL,64.61999999999989,581.579999999999,1
