symbol,token,action,breakout_level,stop_loss,target1,target2,target3,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
POLICYBZR-EQ,6656,SELL,1739.0,1791.17,1635.0,1630.0,1574.0,2025-06-03,5,8695.0,2025-06-04,1791.17,SL,-52.17000000000007,-260.85000000000036,1
HEROMOTOCO-EQ,1348,BUY,4108.0,3984.76,4354.0,4437.0,4724.0,2025-05-15,2,8216.0,2025-05-19,4354.0,T2_SL,246.0,492.0,4
ABFRL-EQ,30108,SELL,99.22,90.846,82.91,81.14,74.97,2025-05-21,100,9922.0,2025-05-22,90.846,SL,8.373999999999995,837.3999999999995,1
TORNTPOWER-EQ,13786,SELL,1406.0,1423.46,1367.0,1299.0,1175.0,2025-05-20,7,9842.0,2025-05-26,1423.46,SL,-17.460000000000036,-122.22000000000025,6
INDIGO-EQ,11195,SELL,5432.0,5551.7,5067.0,4892.0,4582.0,2025-05-21,1,5432.0,2025-05-22,5551.7,SL,-119.69999999999982,-119.69999999999982,1
DMART-EQ,19913,SELL,4051.0,4135.45,3981.0,3808.0,3443.0,2025-05-28,2,8102.0,2025-06-05,4135.45,SL,-84.44999999999982,-168.89999999999964,8
NYKAA-EQ,6545,BUY,204.6,198.947,206.4,217.4,235.9,2025-05-26,48,9820.8,2025-05-30,204.6,T1_SL,0.0,0.0,4
IREDA-EQ,20261,SELL,173.0,178.19,162.6,153.0,147.0,2025-06-03,57,9861.0,2025-06-05,178.19,SL,-5.189999999999998,-295.82999999999987,2
KPITTECH-EQ,9683,SELL,1336.0,1376.08,1256.0,1212.0,1178.0,2025-05-20,7,9352.0,2025-05-30,1337.8,MKT,-1.7999999999999545,-12.599999999999682,10
TVSMOTOR-EQ,8479,BUY,2795.0,2768.38,3025.0,3082.0,3282.0,2025-05-16,3,8385.0,2025-05-20,2768.38,SL,-26.61999999999989,-79.85999999999967,4
EXIDEIND-EQ,676,BUY,383.3,377.039,397.2,412.0,447.0,2025-05-23,26,9965.800000000001,2025-05-27,377.039,SL,-6.261000000000024,-162.78600000000063,4
BHARTIARTL-EQ,10604,BUY,1837.0,1802.26,1917.0,1969.0,2137.0,2025-05-23,5,9185.0,2025-06-02,1854.1,MKT,17.09999999999991,85.49999999999955,10
CIPLA-EQ,694,SELL,1462.0,1505.86,1451.0,1374.0,1243.0,2025-05-20,6,8772.0,2025-05-30,1465.7,MKT,-3.7000000000000455,-22.200000000000273,10
NMDC-EQ,15332,SELL,70.04,72.14120000000001,69.06,65.84,59.53,2025-06-04,142,9945.68,2025-06-06,72.14120000000001,SL,-2.1012000000000057,-298.3704000000008,2
