symbol,token,action,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
MOTHERSON-EQ,4204,BUY,2025-04-21,76,9880.0,2025-04-25,135.2,T2_SL,5.199999999999989,395.19999999999914,4
CHOLAFIN-EQ,685,BUY,2025-04-16,6,9480.0,2025-04-17,1581.1,SL,1.099999999999909,6.599999999999454,1
VOLTAS-EQ,3718,BUY,2025-04-22,7,9247.0,2025-04-24,1281.37,SL,-39.63000000000011,-277.41000000000076,2
POWERGRID-EQ,14977,BUY,2025-04-21,32,9932.8,2025-04-23,310.4,T1_SL,0.0,0.0,2
TATATECH-EQ,20293,BUY,2025-04-21,15,9855.0,2025-04-22,705.19,SL,48.190000000000055,722.8500000000008,1
KPITTECH-EQ,9683,BUY,2025-04-21,8,9360.0,2025-04-22,1238.69,SL,68.69000000000005,549.5200000000004,1
TATAELXSI-EQ,3411,BUY,2025-04-22,1,5396.0,2025-04-24,5743.0,T3,347.0,347.0,2
HCLTECH-EQ,7229,BUY,2025-04-16,6,8574.0,2025-04-17,1455.0,SL,26.0,156.0,1
ABCAPITAL-EQ,21614,BUY,2025-04-15,53,9964.0,2025-04-16,200.79,SL,12.789999999999992,677.8699999999995,1
BEL-EQ,383,BUY,2025-04-28,32,9811.2,2025-05-07,306.6,T1_SL,0.0,0.0,9
TATAMOTORS-EQ,3456,BUY,2025-04-21,15,9420.0,2025-04-22,652.81,SL,24.809999999999945,372.1499999999992,1
LT-EQ,11483,BUY,2025-04-21,3,9831.0,2025-04-22,3250.47,SL,-26.5300000000002,-79.5900000000006,1
BHARATFORG-EQ,422,BUY,2025-04-21,9,9702.0,2025-04-30,1104.2,MKT,26.200000000000045,235.8000000000004,9
BRITANNIA-EQ,547,BUY,2025-04-17,1,5442.0,2025-04-21,5382.53,SL,-59.470000000000255,-59.470000000000255,4
LUPIN-EQ,10440,BUY,2025-04-22,4,8120.0,2025-04-23,2035.06,SL,5.059999999999945,20.23999999999978,1
TITAN-EQ,3506,BUY,2025-04-17,3,9858.0,2025-04-25,3365.2,MKT,79.19999999999982,237.59999999999945,8
YESBANK-EQ,11915,BUY,2025-04-28,554,9994.16,2025-05-07,19.12,T2_SL,1.0800000000000018,598.3200000000011,9
