date,time,symbol,token,action,breakout_level,stop_loss,target1,target2,target3,rsi,macd,volume,level_score,level_age,close
29-05-2025,12:55:00,ADANIPORTS-EQ,15083,BUY,1428,1385.16,1514,1542,1642,72.17285674,0.868942675,84420,,,1428.9
30-05-2025,09:25:00,ADANIPORTS-EQ,15083,BUY,1441,1397.77,1527,1556,1657,67.60712053,5.412676118,94605,,,1448.7
02-06-2025,11:45:00,ADANIPORTS-EQ,15083,BUY,1458,1414.26,1545,1575,1677,70.50645836,3.334721131,83524,,,1463.6
10-06-2025,11:45:00,ADANIPORTS-EQ,15083,BUY,1482,1437.54,1484,1571,1704,68.97768086,0.663549305,51274,,,1483.9
15-04-2025,15:00:00,ADANIPOWER-EQ,17388,BUY,542,525.74,575,585,623,62.77276971,-0.492032693,226551,,,542.45
21-04-2025,15:25:00,ADANIPOWER-EQ,17388,BUY,561,544.17,561,595,645,57.67009516,-0.175697936,162963,,,571
05-05-2025,10:15:00,ADANIPOWER-EQ,17388,BUY,540,523.8,572,586,621,74.84642568,3.660166168,264790,,,543.3
16-05-2025,09:35:00,ADANIPOWER-EQ,17388,BUY,553,536.41,584,586,586,67.48313028,3.501589996,313120,,,553.5
19-05-2025,10:00:00,ADANIPOWER-EQ,17388,BUY,570,552.9,584,586,604,67.24386984,1.252951672,318071,,,572.15
22-05-2025,09:20:00,ADANIPOWER-EQ,17388,BUY,553,536.41,573,584,586,72.41060612,0.826167627,308995,,,556.2
28-05-2025,09:15:00,ADANIPOWER-EQ,17388,BUY,553,536.41,570,573,586,61.79743838,-0.163508917,126529,,,555.4
29-05-2025,12:55:00,ADANIPOWER-EQ,17388,BUY,553,536.41,566,570,586,70.49686528,0.117481888,125687,,,556.55
30-05-2025,09:15:00,ADANIPOWER-EQ,17388,BUY,553,536.41,570,573,586,63.81074357,-0.16804445,168303,,,554.15
02-06-2025,10:00:00,ADANIPOWER-EQ,17388,BUY,553,536.41,570,573,586,71.15034851,1.247792651,270222,,,557.5
09-06-2025,10:55:00,ADANIPOWER-EQ,17388,BUY,564,547.08,570,573,598,65.69777068,2.035615169,229735,,,566.4
10-06-2025,10:55:00,ADANIPOWER-EQ,17388,BUY,570,552.9,573,574,604,63.46061854,1.33088041,441344,,,570
13-06-2025,10:30:00,ADANIPOWER-EQ,17388,BUY,570,552.9,604,611,656,59.85556462,-0.118999837,259271,,,570.4
21-04-2025,14:40:00,ALKEM-EQ,11703,BUY,4990,4840.3,5013,5092,5289,69.62235883,5.257525294,6111,,,4997.1
22-04-2025,12:25:00,ALKEM-EQ,11703,BUY,5013,4862.61,5092,5314,5765,66.83174012,-1.096664381,1637,,,5040
23-04-2025,12:00:00,ALKEM-EQ,11703,BUY,5090,4937.3,5395,5497,5854,68.87047582,16.06441566,4532,,,5165.3
13-05-2025,09:15:00,ALKEM-EQ,11703,BUY,5066,4914.02,5299,5370,5826,72.42158875,10.24433638,4427,,,5068
15-05-2025,09:55:00,ALKEM-EQ,11703,BUY,5160,5005.2,5299,5470,5934,74.04776582,14.05402609,3293,,,5169
19-05-2025,09:55:00,ALKEM-EQ,11703,BUY,5320,5160.4,5320,5639,6118,71.7702675,7.878064498,6624,,,5337
15-04-2025,14:40:00,AMBUJACEM-EQ,1270,BUY,552,535.44,557,585,635,63.99117072,0.491622152,54387,,,556.65
14-05-2025,15:15:00,AMBUJACEM-EQ,1270,BUY,544,527.68,544,577,585,72.44611556,0.469222605,60378,,,544.7
19-05-2025,12:30:00,AMBUJACEM-EQ,1270,BUY,566,549.02,583,600,651,71.42677857,0.570024594,48410,,,567.15
20-05-2025,09:35:00,AMBUJACEM-EQ,1270,BUY,570,552.9,580,604,656,74.40906701,0.714108855,44504,,,570.55
09-06-2025,11:55:00,AMBUJACEM-EQ,1270,BUY,557,540.29,557,576,590,61.55223142,0.189444666,110533,,,557.3
10-06-2025,12:00:00,AMBUJACEM-EQ,1270,BUY,563,546.11,576,597,647,68.11654647,0.529196853,116044,,,563.75
15-04-2025,12:40:00,APLAPOLLO-EQ,25780,BUY,1533,1487.01,1571,1625,1763,56.28781654,0.732060455,7279,,,1548.2
17-04-2025,09:45:00,APLAPOLLO-EQ,25780,BUY,1571,1523.87,1571,1577,1665,68.60791948,2.963609414,13354,,,1576.5
22-04-2025,09:25:00,APLAPOLLO-EQ,25780,BUY,1604,1555.88,1604,1700,1845,58.81283614,1.497230083,72143,,,1605.9
